SchoolCode,GPAcoef,SATcoef,Intercept,Weight,College
H:144962,4.81016068,0.01288398,-23.861815,1,Elmhurst College
H:145646,4.31193714,0.00966316,-24.294267,1,Illinois Wesleyan University
H:145691,6.36126201,0.00639367,-23.715199,1,Illinois College
H:146427,7.18942339,0.01116933,-34.322439,1,Knox College
H:146481,8.27939834,0.01229317,-40.286021,1,Lake Forest College
H:146612,4.83072259,0.00930234,-20.877496,1,Lewis University
H:146676,4.06816201,0.00708198,-13.327648,1,Lincoln College
H:147013,7.32697583,0.03402182,-51.167222,1,McKendree University
H:147244,7.48969019,0.02003503,-37.507137,1,Millikin University
H:147341,7.39568074,0.00788288,-26.510075,1,Monmouth College
H:147660,6.22455778,0.00733794,-24.653653,1,North Central College
H:147679,6.59911992,0.01132868,-26.898,1,North Park University
H:147703,4.40363303,0.00395221,-14.286642,1,Northern Illinois University
H:147776,5.21684733,0.00980734,-19.158771,1,Northeastern Illinois University
H:148335,1.43590608,0.00045841,-2.2705012,1,Robert Morris University Illinois
H:148487,2.12454459,0.0042807,-7.9263538,1,Roosevelt University
H:148496,6.32549624,0.01056695,-26.554632,1,Dominican University
H:148584,5.32266251,0.01502983,-28.637299,1,University of St Francis
H:149222,4.72945709,0.01841549,-27.719511,1,Southern Illinois University-Carbondale
H:149231,3.53227283,0.01622274,-23.284279,1,Southern Illinois University-Edwardsville
H:149505,6.36107103,0.02337485,-38.307167,1,Trinity Christian College
H:149772,5.16880637,0.01255448,-23.467502,1,Western Illinois University
H:150163,5.41438199,0.00502101,-22.009807,1,Butler University
H:150400,5.54933295,0.00858139,-28.013552,1,DePauw University
H:150455,8.39475988,0.00922901,-36.028883,1,Earlham College
H:150774,2.65941949,0.02458941,-29.464674,1,Holy Cross College
H:151351,6.00438364,0.00095947,-19.413071,1,Indiana University-Bloomington
H:152080,8.08111271,0.00537432,-40.427926,1,University of Notre Dame
H:152390,9.10286691,0.00646951,-32.571797,1,Saint Mary's College (Female only)
H:152600,6.30089775,0.00636396,-23.989588,1,Valparaiso University
H:152673,5.23430938,0.01106017,-27.528256,1,Wabash College (Male only)
H:153144,6.00292391,0.01743098,-34.840518,1,Coe College
H:153278,5.83107879,0.00245401,-11.871376,1,University of Dubuque
H:153384,2.5732216,0.01847156,-33.67626,1,Grinnell College
H:153603,4.81622655,0.0056193,-17.748509,1,Iowa State University
H:153621,3.36548962,0.00731401,-13.762767,1,Iowa Wesleyan University
H:153658,5.88680593,0.01093888,-27.381782,1,University of Iowa
H:153834,8.13894682,0.01637553,-38.965484,1,Luther College
H:154095,5.06244733,0.01146874,-24.773936,1,University of Northern Iowa
H:154493,2.82219281,0.01101477,-15.015035,1,Upper Iowa University
H:156295,2.31050629,0.00254104,-10.966242,1,Berea College
H:161004,3.84602797,0.01019703,-28.757283,1,Bowdoin College
H:164924,5.97926657,0.02712902,-56.922406,1,Boston College
H:164988,3.86283397,0.00463512,-22.102263,1,Boston University
H:168148,4.27579707,0.00246694,-21.028196,1,Tufts University
H:168546,5.76550555,0.00738829,-22.213272,1,Albion College
H:169248,5.59827409,0.01056724,-23.227574,1,Central Michigan University
H:170082,10.6891323,0.0152118,-45.686772,1,Grand Valley State University
H:170301,5.14620712,0.00698297,-24.927255,1,Hope College
H:170532,7.45738354,0.00368062,-29.286169,1,Kalamazoo College
H:170976,4.47880457,0.01137324,-29.727298,1,University of Michigan-Ann Arbor
H:171100,4.09239839,0.0007853,-12.366012,1,Michigan State University
H:173258,4.13507926,0.00246004,-19.466407,1,Carleton College
H:173902,5.29806161,0.00715885,-28.951107,1,Macalester College
H:174066,9.34616753,0.00542532,-38.170069,1,University of Minnesota-Twin Cities
H:174844,4.95948849,0.00641323,-24.222526,1,St Olaf College
H:178396,4.78175283,0.01730795,-32.46998,1,University of Missouri-Columbia
H:178615,6.17812129,0.00778565,-25.283192,1,Truman State University
H:179159,3.68351364,0.00941988,-18.973744,1,Saint Louis University
H:179867,3.60212631,0.01487482,-34.637536,1,Washington University in St Louis
H:182670,2.87650551,0.00729464,-22.377593,1,Dartmouth College
H:186131,9.97349126,0.00778043,-52.189409,1,Princeton University
H:190415,1.14105958,0.00588185,-13.76693,1,Cornell University
H:193900,4.65346276,0.00387234,-23.070535,1,New York University
H:195030,5.32490459,0.00177316,-21.936051,1,University of Rochester
H:195526,2.46060653,0.00421342,-16.220876,1,Skidmore College
H:196413,5.07301586,0.00362002,-22.285647,1,Syracuse University
H:197869,6.22630685,0.03186569,-55.085374,1,Appalachian State University
H:198385,5.23802238,0.00400387,-25.321768,1,Davidson College
H:202480,7.7539781,0.00954179,-31.364274,1,University of Dayton
H:202523,4.09389393,0.00656053,-22.587266,1,Denison University
H:203517,2.61966351,0.00397012,-10.822941,1,Kent State University at Kent
H:203535,5.65322637,0.00539089,-28.66191,1,Kenyon College
H:204501,3.2576922,0.01091235,-27.331964,1,Oberlin College
H:204796,6.70065378,0.00781405,-32.670243,1,Ohio State University-Main Campus
H:206589,4.43069871,0.00486357,-19.544999,1,The College of Wooster
H:209056,10.7909028,0.01743779,-55.694299,1,Lewis & Clark College
H:211291,7.45163606,0.00196133,-30.748791,1,Bucknell University
H:212009,2.27129656,0.00043664,-10.322671,1,Dickinson College
H:212577,7.75520522,0.00489097,-36.358835,1,Franklin and Marshall College
H:212674,5.58534499,0.00089215,-20.911589,1,Gettysburg College
H:213385,5.82992556,0.00751295,-32.275577,1,Lafayette College
H:213543,6.43049106,0.01051652,-34.919676,1,Lehigh University
H:213668,4.54506561,0.00561398,-19.835302,1,Lycoming College
H:216287,3.62632237,0.01859597,-39.139877,1,Swarthmore College
H:217156,4.85662807,0.00474576,-26.689143,1,Brown University
H:219709,7.99698877,0.03335658,-58.010033,1,Belmont University
H:221519,4.31653333,0.00460864,-22.02721,1,The University of the South
H:230959,9.82342873,0.00244802,-41.172005,1,Middlebury College
H:231174,5.68714052,0.00557761,-23.682113,1,University of Vermont
H:234076,3.33618615,0.00523818,-19.846624,1,University of Virginia-Main Campus
H:238333,4.47578047,0.00327393,-17.259532,1,Beloit College
H:239105,4.36347613,0.00927034,-22.705707,1,Marquette University
H:239318,6.47408252,0.02190479,-45.184735,1,Milwaukee School of Engineering
H:239628,6.46599242,0.00505891,-21.931013,1,Ripon College
H:240329,9.31746728,0.01517758,-43.945538,1,University of Wisconsin-La Crosse
H:240444,6.96764785,0.00602113,-30.57788,1,University of Wisconsin-Madison
H:243744,10.4920206,0.00552997,-52.708285,1,Stanford University
H:243780,1.62811779,0.00040334,-6.0322295,1,Purdue University-Main Campus
H:100000001,2.04427227,0.00067055,-5.7330568,1,Arrupe College (Loyola)
W:145600,5.17789528,0.01278258,-26.603296,1,University of Illinois at Chicago
W:145637,7.75245635,0.01401174,-41.644486,1,University of Illinois at Urbana-Champaign
W:145725,5.64888329,0.01096756,-30.526052,1,Illinois Institute of Technology
W:147767,4.27059478,0.01766317,-41.311327,1,Northwestern University
W:170976,4.59618558,0.00386106,-22.610918,1,University of Michigan-Ann Arbor
W:202523,5.32655703,0.01168288,-33.752875,1,Denison University
A:145600,5.17789528,0.01278258,-26.603296,1,University of Illinois at Chicago
A:145637,7.75245635,0.01401174,-41.644486,1,University of Illinois at Urbana-Champaign
A:145725,5.64888329,0.01096756,-30.526052,1,Illinois Institute of Technology
A:147767,4.27059478,0.01766317,-41.311327,1,Northwestern University
A:170976,4.59618558,0.00386106,-22.610918,1,University of Michigan-Ann Arbor
A:202523,5.32655703,0.01168288,-33.752875,1,Denison University
